"id","question_pattern","answer_text","topic","is_active","approval_status","reviewed_at","notes"
"","請問付款方式有哪幾種呢","您好～目前可提供現金或線上轉帳服務；若單筆消費滿 3000 元，也可刷卡。若您想了解某項療程後續付款安排，我也可以先幫您整理給客服確認。","general","true","approved","2026-06-29","stable_demo_faq"
"","可以刷卡嗎","您好～目前單筆消費滿 3000 元可刷卡；其餘也可先由現金或線上轉帳安排。若您是想搭配特定療程規劃，我也可以先幫您整理方向。","general","true","approved","2026-06-29","stable_demo_faq"
"","想預約怎麼安排","可以的，我先幫您往預約方向整理。您可以直接回覆想了解的療程、方便的館別，以及 3 個方便時段；如果是第一次到診，也可以一併告訴我，我幫您整理後續安排。","booking","true","approved","2026-06-29","stable_demo_faq"
"","第一次到診要準備什麼","您好～第一次到診通常會先由現場協助基本資料與需求確認；若您現在方便，也可以先告訴我想了解的療程、在意的部位，以及 3 個方便時段，我先幫您整理後續安排。","booking","true","approved","2026-06-29","stable_demo_faq"
"","你們有幾間診所 地址在哪","您好～目前順風可先理解為有 4 館：林口館、桃園館、台中館、高雄館。林口館在桃園市龜山區復興一路146巷1號3樓；桃園館在桃園市中正路1247號2樓；台中館在台中市南屯區益昌一街101號；高雄館在高雄市左營區博愛三路101號。若您住高雄，我也可以直接先幫您往高雄館安排。","branch","true","approved","2026-06-29","stable_demo_faq"
"","分店資訊","您好～目前順風可先理解為有 4 館：林口館、桃園館、台中館、高雄館。林口館在桃園市龜山區復興一路146巷1號3樓；桃園館在桃園市中正路1247號2樓；台中館在台中市南屯區益昌一街101號；高雄館在高雄市左營區博愛三路101號。若您方便，也可以直接告訴我您想去哪一館，我幫您整理後續安排。","branch","true","approved","2026-06-29","stable_demo_faq"
"","高雄館地址在哪","您好～高雄館地址是高雄市左營區博愛三路101號。若您住高雄，我也可以直接先幫您整理高雄館的預約方向，您只要告訴我想了解的療程與 3 個方便時段就可以。","branch","true","approved","2026-06-29","stable_demo_faq"
"","台中館地址在哪","您好～台中館地址是台中市南屯區益昌一街101號。若您方便，我也可以直接先幫您整理台中館的預約方向。","branch","true","approved","2026-06-29","stable_demo_faq"
"","桃園館地址在哪","您好～桃園館地址是桃園市中正路1247號2樓。若您方便，我也可以直接先幫您整理桃園館的預約方向。","branch","true","approved","2026-06-29","stable_demo_faq"
"","林口館地址在哪","您好～林口館地址是桃園市龜山區復興一路146巷1號3樓。若您方便，我也可以直接先幫您整理林口館的預約方向。","branch","true","approved","2026-06-29","stable_demo_faq"
